Parcel_ID,review,date,address,add_ver,add_rev,proptype,othertype,propstatus,stories,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_RAILS,MIN_PORCH,MIN_PORJUNK,MIN_CHIMN,MIN_PAINT,MIN_GUTTER,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_CHIMN,YARD_SATIS,YARD_MOW,YARD_OVRGR,YARD_VHINOP,YARD_VHPARK,YARD_GRCOV,YARD_MAJCL,GeneralCon,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,ParcCount,rec_id,Landlord
M0120093000,Yab,12/22/2016,327 N MADISON AVENUE,Yes,No,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035158?filename=communitymapuga/attachments/1482425097445.jpg,No,No,No,-83.711884,33.801568,0,0,0,Standard,0,NA,M01200930001031,0
M0150037000,Sadie,6/1/2016,No,No,505 E Church street,Single family (garage),No,OCCUP,two,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035158?filename=communitymapuga/attachments/1464788401500.jpg,http://classic.ona.io/api/v1/files/2035161?filename=communitymapuga/attachments/1464788418505.jpg,http://classic.ona.io/api/v1/files/2035159?filename=communitymapuga/attachments/1464788442692.jpg,http://classic.ona.io/api/v1/files/2035160?filename=communitymapuga/attachments/1464788458619.jpg,-83.70749716,33.7931931,3,0,3,Substandard,0,1,M0150037000439,0
M0170121000,Sadie,6/1/2016,No,No,502 e church street,Single family (no garage),No,OCCUP,one,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Good,Paint chipping,http://classic.ona.io/api/v1/files/2035166?filename=communitymapuga/attachments/1464788773264.jpg,http://classic.ona.io/api/v1/files/2035167?filename=communitymapuga/attachments/1464788795633.jpg,No,No,-83.70752762,33.79228056,2,0,2,Substandard,0,1,M0170121000534,0
M0170120000,Sadie,6/1/2016,No,No,500 e church street,Single family (garage),No,OCCUP,one,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Good,Chimney damage,http://classic.ona.io/api/v1/files/2035170?filename=communitymapuga/attachments/1464789086921.jpg,http://classic.ona.io/api/v1/files/2035168?filename=communitymapuga/attachments/1464789106491.jpg,http://classic.ona.io/api/v1/files/2035169?filename=communitymapuga/attachments/1464789141926.jpg,No,-83.70770547,33.79250195,1,0,1,Standard,0,1,M0170120000533,0
M0170119000,Sadie,6/1/2016,No,No,414 e church street,Single family (no garage),No,OCCUP,one,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Good,No house numbers,http://classic.ona.io/api/v1/files/2035171?filename=communitymapuga/attachments/1464789529844.jpg,http://classic.ona.io/api/v1/files/2035172?filename=communitymapuga/attachments/1464789549757.jpg,http://classic.ona.io/api/v1/files/2035173?filename=communitymapuga/attachments/1464789579111.jpg,No,-83.70795013,33.79224244,1,0,1,Standard,0,1,M0170119000532,0
M0170116000,Sadie,6/1/2016,No,No,404 e church street,Single family (no garage),No,OCCUP,one,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035178?filename=communitymapuga/attachments/1464789916201.jpg,http://classic.ona.io/api/v1/files/2035177?filename=communitymapuga/attachments/1464789995925.jpg,http://classic.ona.io/api/v1/files/2035182?filename=communitymapuga/attachments/1464790021993.jpg,http://classic.ona.io/api/v1/files/2035180?filename=communitymapuga/attachments/1464790055714.jpg,-83.70889006,33.79254415,4,0,4,Dilapidated,0,1,M0170116000531,0
M0160112000,Sadie,6/1/2016,No,No,400 e church street,Single family (no garage),No,VACANT,one,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Poor,Under renovations,http://classic.ona.io/api/v1/files/2035188?filename=communitymapuga/attachments/1464790710514.jpg,http://classic.ona.io/api/v1/files/2035185?filename=communitymapuga/attachments/1464790731381.jpg,http://classic.ona.io/api/v1/files/2035187?filename=communitymapuga/attachments/1464790771253.jpg,http://classic.ona.io/api/v1/files/2035186?filename=communitymapuga/attachments/1464790791708.jpg,-83.70915132,33.79209483,5,2,7,Dilapidated,0,1,M0160112000508,0
M0160117000,Sadie,6/1/2016,No,No,306 e church street,Single family (no garage),No,OCCUP,one,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035189?filename=communitymapuga/attachments/1464790967508.jpg,http://classic.ona.io/api/v1/files/2035190?filename=communitymapuga/attachments/1464790994089.jpg,No,No,-83.70955285,33.79234764,2,0,2,Substandard,0,1,M0160117000512,0
M0160114000,Sadie,6/1/2016,No,No,312 milledge ave,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035192?filename=communitymapuga/attachments/1464791329642.jpg,http://classic.ona.io/api/v1/files/2035194?filename=communitymapuga/attachments/1464791340273.jpg,No,No,-83.7094974,33.7917178,0,0,0,Standard,0,1,M0160114000510,0
M0160113000,Sadie,6/1/2016,No,No,317 milledge ave,Single family (no garage),No,OCCUP,one,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,Also no groundcover,http://classic.ona.io/api/v1/files/2035203?filename=communitymapuga/attachments/1464791548473.jpg,http://classic.ona.io/api/v1/files/2035202?filename=communitymapuga/attachments/1464791553139.jpg,http://classic.ona.io/api/v1/files/2035201?filename=communitymapuga/attachments/1464791572464.jpg,No,-83.70942035,33.79156319,2,0,2,Substandard,0,1,M0160113000509,0
