Parcel_ID,review,date,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,stories,add_mlbox,add_house,add_marker,add_Notvis,stsign_vis,streetligh,MIN_No,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_No,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,GeneralCon,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_None,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,lit_total,rec_id,ParcCount
M22 023,"Katherine Pincura

",6/14/2016,608 HERNDON STREET,no,235 Johnson,yes,single_family__no_garage,No,No,occupied,one,Yes,Yes,No,No,Yes,four_plus,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1928528?fileme=communitymapuga/attachments/1465927868446.jpg,http://classic.o.io/api/v1/files/1928526?fileme=communitymapuga/attachments/1465928476585.jpg,NA,http://classic.o.io/api/v1/files/1928527?fileme=communitymapuga/attachments/1465928495823.jpg,-81.95085689,32.80721502,9,5,14,Dilapidated,0,NA,1c72fce4-c6df-445a-b798-e36a0fa1de02,2
M22 017,"K

",6/14/2016,0 GILMER/DREXEL AVENUE,no,Neal Ave and Johnson,no,single_family__no_garage,No,No,occupied,one,No,Yes,No,No,Yes,four_plus,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,major_cleanup_,poor,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1928534?fileme=communitymapuga/attachments/1465929719854.jpg,http://classic.o.io/api/v1/files/1928536?fileme=communitymapuga/attachments/1465929745690.jpg,http://classic.o.io/api/v1/files/1928535?fileme=communitymapuga/attachments/1465929840658.jpg,NA,-81.9491406,32.80723114,8,5,13,Dilapidated,0,NA,a1699171-8ad4-40fd-b305-ff4b265a5b49,2
M22 017,K,6/14/2016,0 GILMER/DREXEL AVENUE,no,None,no,single_family__no_garage,No,No,for_rent,one,No,No,No,Yes,Yes,four_plus,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,needs_to_be_mo,poor,No,No,Yes,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1928538?fileme=communitymapuga/attachments/1465930186593.jpg,http://classic.o.io/api/v1/files/1928539?fileme=communitymapuga/attachments/1465930211258.jpg,http://classic.o.io/api/v1/files/1928540?fileme=communitymapuga/attachments/1465930236205.jpg,NA,-81.94913477,32.80667865,7,5,12,Dilapidated,1,NA,98fd74b4-3204-4655-b8f8-4929bb5f6b0c,2
M22 015,K,6/14/2016,538 GILMER STREET,no,179 Johnson,yes,mobile_home_single_parcels,No,No,occupied,one,No,Yes,No,No,Yes,four_plus,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1928548?fileme=communitymapuga/attachments/1465933233225.jpg,http://classic.o.io/api/v1/files/1928550?fileme=communitymapuga/attachments/1465933249276.jpg,http://classic.o.io/api/v1/files/1928549?fileme=communitymapuga/attachments/1465933268855.jpg,NA,-81.94921777,32.80607148,6,3,9,Dilapidated,0,NA,2b397fe8-1ec2-4757-8ae5-9985ef76417a,3
M13 112,Allison Drew,6/20/2016,729 OLD WAYNESBORO ROAD,no,Unknown,no,mobile_home_mult_parcels,No,No,occupied,one,No,No,No,Yes,Yes,three_four,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1976797?fileme=communitymapuga/attachments/1466445748200.jpg,NA,NA,NA,-81.9473661,32.8092777,3,0,3,Substandard,0,NA,c6f3c5fa-57a4-4821-844d-5378c48b6e90,2
M20 003,Allison Drew,6/20/2016,0 HWY 25 NORTH,no,151 HWY 25 North,yes,single_family__no_garage,No,No,vacant_unoccup,one,No,Yes,No,No,No,unsure,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,satisfactory,poor,Yes,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1976798?fileme=communitymapuga/attachments/1466451643230.jpg,NA,NA,NA,-81.94818564,32.81306632,4,4,8,Dilapidated,1,NA,d53f715c-f9f2-4bdc-b2a3-1f6798294060,2
M20 003,Allison Drew,6/20/2016,0 HWY 25 NORTH,no,Unknown,no,single_family__no_garage,No,No,vacant_unoccup,one,No,No,No,Yes,No,unsure,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,satisfactory,poor,Yes,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1976812?fileme=communitymapuga/attachments/1466451830413.jpg,http://classic.o.io/api/v1/files/1976811?fileme=communitymapuga/attachments/1466451842245.jpg,http://classic.o.io/api/v1/files/1976813?fileme=communitymapuga/attachments/1466451864930.jpg,NA,-81.94785741,32.81331721,7,4,11,Dilapidated,1,NA,220c2200-3ef3-492f-805e-1aba63f46fa5,2
M13 112,Allison Drew,6/20/2016,729 OLD WAYNESBORO ROAD,yes,NA,yes,single_family__no_garage,No,No,occupied,one,No,Yes,No,No,Yes,three_four,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1979623?fileme=communitymapuga/attachments/1466445572809.jpg,http://classic.o.io/api/v1/files/1979625?fileme=communitymapuga/attachments/1466445580376.jpg,http://classic.o.io/api/v1/files/1979624?fileme=communitymapuga/attachments/1466445617859.jpg,NA,-81.94776957,32.80933985,2,1,3,Substandard,0,NA,940eecae-4c63-4d59-8dd0-52f72ee31c03,2
M13 100,Allison Drew,6/20/2016,0 OLD WAYNESBORO ROAD,no,Unknown,no,mobile_home_single_parcels,No,No,occupied,one,No,No,No,Yes,Yes,one_two,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1979642?fileme=communitymapuga/attachments/1466446570550.jpg,http://classic.o.io/api/v1/files/1979640?fileme=communitymapuga/attachments/1466446584192.jpg,http://classic.o.io/api/v1/files/1979641?fileme=communitymapuga/attachments/1466446622926.jpg,NA,-81.94609819,32.8079112,7,5,12,Dilapidated,0,NA,a6b11801-ee7b-4fbe-99e9-7fd088fcc440,2
M13 100,Allison Drew,6/20/2016,0 OLD WAYNESBORO ROAD,no,614 Academy Ave,no,mobile_home_mult_parcels,No,No,unknown,one,No,Yes,No,No,Yes,three_four,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1979644?fileme=communitymapuga/attachments/1466446909130.jpg,http://classic.o.io/api/v1/files/1979643?fileme=communitymapuga/attachments/1466446915862.jpg,NA,NA,-81.94645489,32.80805016,4,0,4,Dilapidated,0,NA,f2460cd3-4b29-4946-8054-f9ff5cff9658,2
