realkey,ownkey,house_no,extension,stdirect,sttype,street_nam,unit,landlot,landdist,landgmd,zoningcode,return_val,assess_rsn,parcel_no,legal_desc,val_chg,prev_val,curr_val,valchgdate,land_type,taxdistric,homeexempt,cuv_renew,orighomval,currhomval,reviewdate,datenow,appraiser,pcy,ccy,hcy,ovrideval,influence1,influence2,influence3,influence4,influence5,influence6,influence7,infltype1,infltype2,infltype3,infltype4,infltype5,infltype6,infltype7,digclass,digstrat,topography,water,sewer,gas,electricty,roadstreet,roadclass,distdrain,nbrstatus,zoning,acc,desire,a_value,p_value,woodacres,totalacres,vendno,histval,fuserid,neighbhood,newownrflg,splitsflg,homedate,spdist,realgrowth,inflgrowth,acctstatus,histyr1,histval1,histyr2,histval2,histyr3,histval3,lat,lon,apprname,alternate,land_appr,ovrdate,ovr_rsn,a_calc,p_calc,ezy,ez_exempt,quad,income,exists,subd_name,subd_lot,subd_blk,subd_sec,subd_phse,io_name,io_date,ovr_acres,parcel_no2,boe_year,boe_value,createdate,zip,statehsval,flcy,fl08val,flbaseval,fl08acres,flappnum,fl08perac,mavorig,mavcurr,mavag,mavpref,mavprev,mavovr,fmvres,fmvcom,fmvacc,mavres,mavcom,mavacc,sale_val,saleland1,saleland2,saleimpcs1,saleimp1,saleimpcs2,saleimp2,returnmail,orighsval2,currhsval2,covhs,covparent,covrealkey,siteaddid,unittype
1,12756,0,,,,,,,,,,0,RA,U02 OP 002,UNINC,-1,8344,8652,2/3/2014,0,02,S0,0,0,0,7/23/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,8066,2011,7932,2010,7901,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U02    001,0,0,18991230,,0,,7900,7900,0.00,,0.00,0,0,0,0,0,0,0,0,8652,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
3,12758,0,,,,,,,,,,0,RA,U06 OP 001,"INC./74,416/1,934,810 /35.51%",-1,3300320,3341487,2/3/2014,0,01,S0,0,0,0,5/30/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,004,0,A,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,3054712,2011,2595935,2010,2511453,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U06    001 CRN,0,0,18991230,,0,,2385144,2385144,0.00,,0.00,0,0,0,0,0,0,0,0,3341487,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
4,12758,0,,,,,,,,,,0,RA,U06 OP 002,"UNINC/119,842/3,115,890 /35.51",-1,6549343,6830159,18991230,0,02,S0,0,0,0,5/30/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,5921421,2011,5150014,2010,4892712,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U07    001,0,0,18991230,,0,,4540417,4540417,0.00,,0.00,0,0,0,0,0,0,0,0,6830159,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
5,12760,0,,,,,,,,,,0,RA,U09 OP 001,,-1,36692,46154,2/3/2014,0,01,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,36192,2011,36192,2010,36192,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U09    001 CRN,0,0,18991230,,0,,36192,36192,0.00,,0.00,0,0,0,0,0,0,0,0,46154,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
6,12760,0,,,,,,,,,,0,RA,U09 OP 002,,-1,4989362,4913247,18991230,0,02,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,4952020,2011,5039159,2010,4948864,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U10    001,0,0,18991230,,0,,4928701,4928701,0.00,,0.00,0,0,0,0,0,0,0,0,4913247,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
7,12762,0,,,,,,,,,,0,RA,U11 OP 002,UNINC /,-1,1024494,978616,2/3/2014,0,02,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,984203,2011,967431,2010,889915,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U11    001,0,0,18991230,,0,,862446,862446,0.00,,0.00,0,0,0,0,0,0,0,0,978616,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
8,12763,0,,,,,,,,,,0,RA,U15 OP 002,"UNINC/131,151/3,419,390/",-1,2556328,2638545,2/3/2014,0,02,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,2641135,2011,2543330,2010,2575991,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U15    001,0,0,18991230,,0,,2584803,2584803,0.00,,0.00,0,0,0,0,0,0,0,0,2638545,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
9,12764,0,,,,,,,,,,0,RA,U16 OP 002,"UNINC/63,000",-1,152167,152229,2/3/2014,0,02,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,104657,2011,95466,2010,68951,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U16    001,0,0,18991230,,0,,68951,68951,0.00,,0.00,0,0,0,0,0,0,0,0,152229,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
10,12765,124,,N,ST,THIRD,,,,,,0,RA,U17 OP 001,124 N THIRD ST,-1,1096286,825659,2/3/2014,0,01,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,2,,0,0,0.00,0.00,,0,,,0,0,5/21/1998,0,0,0,-1,2012,625306,2011,1556892,2010,1568319,,,CASEY WARREN,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U17    001,0,0,18991230,,0,,1465077,1465077,0.00,,0.00,0,0,0,0,0,0,0,0,825659,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
11,12765,0,,,,,,,,,,0,RA,U17 OP 002,"UNINC/116,724/3,034,836 COR VAL      000",-1,1787316,1188144,2/3/2014,0,02,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,1019460,2011,1625477,2010,1502101,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U18    001 CRN,0,0,18991230,,0,,1564433,1564433,0.00,,0.00,0,0,0,0,0,0,0,0,1188144,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
