fulcrum_id,parcel_num,prop_add,prop_type_name,genprop,condition,comments,lat,long,photo1,photo2,photo3,photo4,var,value
10ce97c5-6358-44cc-a8b0-d736ebd99702,A09    051,188 NA PHILLIPS LN,Mobile home,Occupied   ,moderate rehabilitation needed,blank,32.39411275393368,-83.35895304428409,e5dc58aa-037d-4902-accd-2f1b13d5cce2,06af6289-8e62-4ec8-8b28-dc0c766c7d6d,blank,blank,foundation,found_cracked
78aacd64-0480-4541-8a93-e0c06b14d91c,A09    052,190 NA PHILLIPS LN,Mobile home,Occupied   ,minor repairs needed,blank,32.39420307209394,-83.35908183608709,"c1cff73c-b905-434d-b370-e5d0528769cc,c7a625a9-f009-46db-a7fc-5f2eb9e6da5c,33552daa-7672-4af8-979e-36cbd5fd87fd,c4fa53e8-991a-417e-8a8c-add923f59276",blank,blank,blank,foundation,found_cracked
99ea2ff4-08f8-44d2-9b2a-993a60613f32,A15    008,170 NA PHILLIPS LN,"Single family home, no garage", Unoccupied  ,dilapidated,Depilated home with major damage,32.39274499424709,-83.35806075524388,"b0303c95-d56d-4333-8c0d-2faa972c649f,c09b72c5-664e-4ec5-af7c-edc44a1b623e,8d435b0f-de12-41d7-be57-e48dcda798cf,1c752cb0-f578-407d-8f34-a84823fc2391",blank,blank,blank,foundation,found_partreplace
83ed401d-0a12-4a8e-b328-bd88eae37a3c,A15    029,126 NA THOMPSON ST,"Single family home, no garage",Occupied   ,minor repairs needed,blank,32.39354962578692,-83.35817351754086,5868eeb8-ff7e-4fd6-8c83-3701651df881,39a6d6d0-fbab-4d62-898e-a73e84b5242d,blank,blank,foundation,found_cracked
244e56b2-ee26-4fba-897f-8aa162c210f1,A15    028,130 NA THOMPSON ST,"Single family home, no garage",Occupied   ,moderate rehabilitation needed,blank,32.393731023861804,-83.35795704220722,"2762e87e-9576-47ee-8190-a89e22336272,9530e9de-ac2e-4646-b5f7-fb2cc01847eb,2eee6a51-5d63-4769-88b4-d00fc7dabdcd,cc5325ac-9470-432c-a319-d60aebfb73d1",blank,blank,blank,foundation,found_cracked
09397677-23f3-409d-8366-aaded27652b4,A15    025,116 NA JACKSON ST,"Single family home, attached garage", Unoccupied  ,moderate rehabilitation needed,blank,32.39388495814308,-83.35722153918174,d3b8061c-7c68-430c-b238-c2329ea0d56c,d016afe6-51b9-40ee-88da-70ccf0c97fa7,e458810f-3d0a-480d-a871-74f8862be4bd,blank,foundation,found_notvis
52873d6f-88a5-4b26-ad53-5e3e2c8c8e1b,A09    053,194 NA PHILLIPS LN,"Single family home, attached garage", Unoccupied  ,moderate rehabilitation needed,There are two properties on this one lot,32.394335866228715,-83.35923203213196,8e6f303b-2d8e-4730-82c5-4e487df80278,8ed2df36-e695-4e58-9c4a-e6cb5ef977b8,"7b21e1cc-ff8e-4805-a733-a41d8aa44f88,bcc055b6-4da5-402d-82ea-31722d08f3e0",blank,foundation,found_compreplace
ac042284-a465-48c2-8bc4-6c80dc597f02,A15    026A,115 NA JACKSON ST,"Single family home, attached garage",   Status unknown,minor repairs needed,blank,32.39367474035811,-83.35758002176651,"4d0a5212-cc53-4bae-8d4e-a67461d880f8,268a4425-6078-4ebe-baee-9b5cd098b4f6","4ca3126d-9abe-49d5-83eb-92dca6e5f8a0,f06d618e-8bff-4f06-be7d-8f3cc967a73d",7d876c71-9031-4746-b920-25064bb97776,7520e694-d3bc-411c-bd1e-3d913cb86b9f,foundation,found_good
31539e54-2671-4c5a-b297-c2485bd0caa3,A15    024,118 NA JACKSON ST,"Single family home, no garage",Occupied   ,sound,blank,32.39398447833719,-83.35732205689293,59374ad1-fe06-403e-b67c-b61896c1a245,425f585a-368d-4f87-a71b-9c956a6ce570,blank,blank,foundation,found_good
c88fbf8a-b097-4c2c-ab8b-07e5a0e468a1,A16    010,103 NA WILMORE ST,Multifamily,Occupied   ,moderate rehabilitation needed,blank,32.39480749525674,-83.35735046294201,"d3a8aea5-fe40-4e09-ac47-ea3a86453969,690acfcc-634e-47dd-b030-afee74566c9c",d90634b9-7385-40ae-9a57-0ed8013041b6,edb3653e-2c3a-43a6-8a8b-1adbe2270846,blank,foundation,found_good
d8401ff7-18aa-4ec1-a554-dbeac952f9e0,A15    035,129 NA JACKSON ST,"Single family home, no garage", Unoccupied  ,dilapidated,Depilated home.,32.394382062707535,-83.35857036142477,"404edb3d-68c4-4103-a48f-620c9acdf058,be9a6f03-b385-4122-90f3-4e18e5b9f6cb,c99d9814-013d-43c7-9a91-9767448143cb,0a14aaf0-b8a1-421e-94bf-9aac3ed523fc,8075574a-39df-4164-8c8d-fa8420420df2",blank,blank,blank,foundation,found_compreplace
1711abd5-a9a2-4a8d-aa49-26fc055f27f8,A16    007,113 NA WILMORE ST,Mobile home,Occupied   ,dilapidated,blank,32.39531332131421,-83.35809707985626,"3b76695a-8e35-4bc8-858e-d54ca75fa3d7,dfa917fa-9fa2-47da-8879-315a6a1b6083",blank,blank,blank,foundation,found_notvis
