repropkey,realkey,digclass,digstrat,occupancy,yr_built,efyr_built,grade,obsv_cond,no_bedrms,no_rooms,foundation,ext_walls,roofing,roof_shape,floor_cons,b_a_opt,sqb_area,sqb_fin,sqa_area,sqa_fin,db_desc,db_fin,basemtqual,d_attic,atticqual,floor_fin,int_wall,int_ceil,heat,pl_std,pl_xtra,fullbaths,halfbaths,stht_code,heatedarea,pfunc_dep,pec_dep,pcom,phy_dep,phy_ovr,ovr_val,timp_val,ovr_rsn,cdu,ovrdate,adj_points,apprname,rcn,calc_value,exists,sketch,photo,statehsflg,mavorig,mav,house_no,extension,stdirect,street_nam,sttype,unit,quad,mavovr,sb346val,localhsflg,sb346add
1,26,A,1,1,1900,1970,0.85,3,0,4,1,4,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1680,1.00,1.00,1.00,0.43,0.00,0,44333,,1.00,18991230,1031.00,"MARC BOHN, AVTACS",103100,44333,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
2,36,A,1,1,1900,1959,1.05,3,0,8,1,2,6,2,1,2,0,0.00,520,1.00,1,1,3,3,3,5,1,8,7,1,3,2,0,2,2938,0.90,1.00,1.00,0.27,0.00,0,39949,,1.00,18991230,1644.00,"MARC BOHN, AVTACS",164400,39949,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
3,52,A,1,1,1920,1963,0.75,3,0,6,1,8,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,4,6,5,7,1,0,1,0,1,884,0.90,1.00,1.00,0.25,0.00,0,10845,,1.00,18991230,482.00,CHRIS KIGHT - AVTACS,48200,10845,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
4,60,A,1,1,1960,1975,0.95,3,0,5,1,1,1,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1369,1.00,1.00,1.00,0.53,0.00,0,47541,,1.00,18991230,897.00,"CLEGG BAZEMORE, AVTACS",89700,47541,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
6,71,A,1,1,1955,1980,0.80,3,0,0,1,2,10,2,1,1,0,0.00,0,0.00,0,0,3,0,3,5,7,5,1,1,0,1,0,0,1360,0.90,1.00,1.00,0.54,0.00,0,41456,,1.00,18991230,853.00,"MARC BOHN, AVTACS",85300,41456,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
10,125,A,1,1,1945,1945,0.70,1,0,6,1,8,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,7,1,0,1,0,1,1040,0.50,1.00,1.00,0.10,0.00,0,2655,,1.00,18991230,531.00,"MARC BOHN, AVTACS",53100,2655,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
11,126,R,1,1,1975,1985,0.85,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,7,1320,1.00,1.00,1.00,0.71,0.00,0,54954,,1.00,18991230,774.00,"CLEGG BAZEMORE, AVTACS",77400,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
12,7180,R,1,1,1940,1965,0.80,3,0,0,2,2,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,1,1,8,7,1,3,2,0,1,1948,0.90,1.00,1.00,0.28,0.00,0,22579,,1.00,18991230,896.00,"MARC BOHN, AVTACS",89600,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
14,150,A,1,1,1960,1976,1.10,3,0,5,1,1,3,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,2,1,1,1,1333,1.00,1.00,1.00,0.55,0.00,0,60280,,1.00,18991230,1096.00,"MARC BOHN, AVTACS",109600,60280,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
15,158,A,1,1,1964,1976,0.90,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,2,1,1,0,1471,1.00,1.00,1.00,0.55,0.00,0,47795,,1.00,18991230,869.00,"MARC BOHN, AVTACS",86900,47795,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
