value,gaines_pres,millen_pres
objectid,1,NA
pin,1,NA
addr_id,1,NA
status,1,NA
address,1,1
site_direc,1,NA
site_bldg,1,NA
site_unit,1,NA
primary_city,1,1
zip,1,NA
legal_desc,1,NA
calc_acre,1,NA
deed_acre,1,NA
land_value,1,NA
IMPROVEMEN,1,NA
cur_value,1,NA
prev_value,1,NA
taxdist,1,NA
taxdist_de,1,NA
homeexempt,1,NA
digclass,1,NA
digclass_d,1,NA
digstrat,1,NA
digstrat_d,1,NA
neighbhood,1,NA
subd_name,1,NA
subd_lot,1,NA
ownname,1,1
mailadr1,1,NA
ownaddress,1,1
mailadr3,1,NA
owncity,1,1
ownstate,1,1
mailzip,1,NA
mavcurr,1,NA
mavprev,1,NA
mav_landva,1,NA
MAV_IMPRVA,1,NA
OID_,1,NA
parcel_num,1,NA
house_num,1,NA
st_name,1,NA
st_type,1,NA
st_dir,1,NA
prop_type,1,NA
svy_stat,1,NA
occupy,1,NA
stories,1,NA
min_rfswy,1,NA
min_rftile,1,NA
min_found,1,NA
min_winddo,1,NA
min_wndpan,1,NA
min_unfinw,1,NA
min_missda,1,NA
min_insul,1,NA
min_rot,1,NA
min_rails,1,NA
min_porch,1,NA
min_total,1,NA
maj_rfswy,1,NA
maj_rftile,1,NA
maj_found,1,NA
maj_winddo,1,NA
maj_siding,1,NA
maj_rot,1,NA
maj_porch,1,NA
maj_total,1,NA
mjmn_total,1,NA
eval,1,NA
yard,1,NA
gen_cond,1,NA
condition,1,1
size,1,NA
sale_date,1,NA
sale_price,1,NA
sale_reaso,1,NA
homestead,1,NA
tax_value,1,NA
year,1,NA
hsf,1,NA
group_num,1,NA
X,NA,1
Parcel_No,NA,1
review,NA,1
date_2016,NA,1
add_ver,NA,1
add_rev,NA,1
add_corr,NA,1
proptype,NA,1
units,NA,1
othertype,NA,1
propstatus,NA,1
X._stories,NA,1
add_mlbox,NA,1
add_house,NA,1
add_marker,NA,1
add_notvis,NA,1
stsign_vis,NA,1
streetligh,NA,1
MIN_NO,NA,1
MIN_RFSWY,NA,1
MIN_RFTILE,NA,1
MIN_FOUND,NA,1
MIN_WINDDO,NA,1
MIN_WNDPAN,NA,1
MIN_UNFINW,NA,1
MIN_MISSID,NA,1
MIN_INSUL,NA,1
MIN_ROT,NA,1
MIN_STEPS,NA,1
MIN_PORCH,NA,1
MIN_SKIRT,NA,1
MIN_RAILS,NA,1
MAJ_NO,NA,1
MAJ_RFSWY,NA,1
MAJ_RFTILE,NA,1
MAJ_FOUND,NA,1
MAJ_WINDDO,NA,1
MAJ_SIDING,NA,1
MAJ_ROT,NA,1
MAJ_PORCH,NA,1
MAJ_SKIRT,NA,1
Yard,NA,1
sidewalks,NA,1
trees,NA,1
junk,NA,1
lit_ditch,NA,1
lit_yard,NA,1
lit_officials,NA,1
lit_none,NA,1
Comments,NA,1
Pic1,NA,1
Pic2,NA,1
Pic3,NA,1
Pic4,NA,1
long,NA,1
lat,NA,1
MIN_TOTAL,NA,1
MAJ_TOTAL,NA,1
MnMj_total,NA,1
conditions,NA,1
other_tot,NA,1
lit_tot,NA,1
ParcCount,NA,1
rec_id,NA,1
