var,hartwell,cochran,commerce,warrenton,universal
address,1,NA,1,1,address_add
address_add1,NA,NA,1,NA,address_add1
comments,1,1,1,1,comments
condition,NA,1,1,1,condition
condition...78,1,NA,NA,NA,condition
date,1,NA,1,NA,date_create
ext_chimney,NA,1,NA,1,ext_chimney
ext_chimney_num,1,NA,1,NA,ext_chimney
ext_cracked,NA,1,NA,1,ext_cracked
ext_cracked_num,1,NA,1,NA,ext_cracked
ext_good,NA,1,NA,1,ext_good
ext_needs_replace,NA,1,NA,1,ext_replace
ext_needs_replace_num,1,NA,1,NA,ext_replace
ext_nosiding,NA,1,NA,1,ext_nosiding
ext_nosiding_num,1,NA,1,NA,ext_nosiding
ext_notvis,NA,1,NA,1,ext_notvis
ext_repaint,NA,1,NA,1,ext_repaint
ext_repaint_num,1,NA,1,NA,ext_repaint
ext_total,1,NA,1,NA,ext_total
exterior,1,NA,1,NA,ext_text
exterior.ext_good,1,NA,1,NA,ext_good
found_compreplace,NA,1,NA,1,found_compreplace
found_compreplace_num,1,NA,1,NA,found_compreplace
found_cracked,NA,1,NA,1,found_cracked
found_cracked_num,1,NA,1,NA,found_cracked
found_good,1,1,1,1,found_good
found_notvis,NA,1,NA,1,found_notvis
found_partreplace,NA,1,NA,1,found_partreplace
found_partreplace_num,1,NA,1,NA,found_partreplace
found_text,1,NA,1,NA,found_text
found_total,1,NA,1,NA,found_total
foundation,1,NA,1,NA,foundation
fulcrum_id,NA,1,NA,1,surveyid
gen_prop_info.for_sale,1,NA,1,NA,genprop_forsale
gen_prop_info.occupied,1,NA,1,NA,genprop_occupy
gen_prop_info.unknown,1,NA,1,NA,genprop_unknown
gen_prop_info.unoccupied,1,NA,1,NA,genprop_unoccupy
genprop,1,1,1,1,genprop
HOMEEXEMPT,NA,NA,1,1,homeexempt
home-stead,1,NA,NA,NA,homeexempt
lat,1,1,1,1,y
long,1,1,1,1,x
lot,1,NA,1,NA,lot
lot_assess.lot_graffiti,1,NA,1,NA,yard_graffiti
lot_assess.lot_inop_vehicle,1,NA,1,NA,yard_vhinop
lot_assess.lot_junk,1,NA,1,NA,yard_junk
lot_assess.lot_missingcover,1,NA,1,NA,yard_missingcover
lot_assess.lot_porchstorage,1,NA,1,NA,yard_porchstorage
lot_assess.lot_satis,1,NA,1,NA,yard_satis
lot_assess.lot_trees,1,NA,1,NA,yard_trees
lot_assess.lot_weeds,1,NA,1,NA,yard_weeds
lot_graffiti,NA,1,NA,NA,yard_graffiti
lot_inop_vehicle,NA,1,NA,1,yard_vhinop
lot_junk,NA,1,NA,1,yard_junk
lot_missingcover,NA,1,NA,1,yard_missingcover
lot_porchstorage,NA,1,NA,1,yard_porchstorage
lot_satis,NA,1,NA,1,yard_satis
lot_trees,NA,1,NA,1,yard_trees
lot_weeds,NA,1,NA,1,yard_weeds
multifamily_units,1,NA,1,NA,multifamily_units
n,1,NA,1,NA,n
name1,NA,NA,1,NA,ownname1
name2,NA,NA,1,NA,ownname2
num_of_stories,1,NA,1,NA,stories
other_elaborate,1,NA,1,NA,other_elab
own_zip,1,NA,NA,NA,ownzip
ownaddress,1,1,1,NA,ownaddress
ownaddress1,NA,NA,NA,1,ownaddress1
