Parcel_No,Draw_Acres,Deed_Acres,Realkey,Ownkey,house_no,street_nam,full_add,curr_val,valchgdate,qPub_Link
NA,,,,,,,NA,,,
015 019,131.787,133.26,1168,14646,680,CHARLIE JONES ROAD,680 CHARLIE JONES ROAD,180294,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+019
015 020,223.819,212.9,1169,15426,0,CHARLIE JONES ROAD,0 CHARLIE JONES ROAD,268059,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+020
015 021,98.7372,92.23,1170,6980,1969,HWY 25 NORTH,1969 HWY 25 NORTH,125553,7/24/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+021
015 022,25.0287,25.67,1171,7059,1871,HWY 25 NORTH,1871 HWY 25 NORTH,98160,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+022
015 023,45.3149,44.69,1172,7060,1873,HWY 25 NORTH,1873 HWY 25 NORTH,209921,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+023
015 024,26.6772,25.5,1173,7061,0,HWY 25 NORTH,0 HWY 25 NORTH,37565,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+024
015 025,22.8024,23.1,1174,7062,1805,HWY 25 NORTH,1805 HWY 25 NORTH,137684,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+025
015 026,0.780454,0.63,1175,7063,0,HWY 25 NORTH,0 HWY 25 NORTH,42778,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+026
015 027,82.0008,80.96,1176,7064,0,HWY 25 NORTH,0 HWY 25 NORTH,111487,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+027
015 028,39.0835,31,1177,7065,0,HWY 25 NORTH,0 HWY 25 NORTH,47000,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+028
015 029,3.55572,4.43,1178,7066,790,HERMANS ROAD,790 HERMANS ROAD,32631,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+029
015 029A,7.29032,6.65,6187,13209,0,HERMANS ROAD,0 HERMANS ROAD,15528,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+029A
015 030,5.42867,5,1179,15719,772,HERMANS ROAD,772 HERMANS ROAD,102756,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+030
015 031,2.34695,2,1180,7068,768,HERMANS ROAD,768 HERMANS ROAD,111620,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+031
015 032,1.95016,2,1181,7069,768,HERMANS ROAD,768 HERMANS ROAD,3120,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+032
015 033,2.04156,2,1182,7070,0,HERMANS ROAD,0 HERMANS ROAD,3120,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+033
015 034,1.94226,2,1183,7071,0,PINE TREE TRAIL,0 PINE TREE TRAIL,3120,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+034
015 035,1.71933,2,1184,15528,0,PINE TREE TRAIL,0 PINE TREE TRAIL,3120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+035
015 036,1.88041,2,1185,15529,0,PINE TREE TRAIL,0 PINE TREE TRAIL,3120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+036
015 037,2.2615,2.27,1186,7075,0,HWY 25 NORTH,0 HWY 25 NORTH,24756,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+037
015 038,1.58957,1.99,1187,7075,0,HWY 25 NORTH,0 HWY 25 NORTH,4269,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+038
015 039,1.66226,1.98,1188,13011,0,HWY 25 NORTH,0 HWY 25 NORTH,4249,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+039
015 040,1.88572,1.99,1189,13011,1886,HWY 25 NORTH,1886 HWY 25 NORTH,4269,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+040
015 041,1.83596,2.01,1190,13011,0,HWY 25 NORTH,0 HWY 25 NORTH,3918,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+041
015 042,1.70705,2.01,1191,7079,0,HWY 25 NORTH,0 HWY 25 NORTH,4310,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+042
015 043,1.68695,1.79,1192,7080,710,HERMANS ROAD,710 HERMANS ROAD,83784,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+043
015 044,3.15858,2.68,1193,7081,0,HWY 25 NORTH,0 HWY 25 NORTH,5649,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+044
015 045,2.93094,3.02,1194,7082,0,HWY 25 NORTH,0 HWY 25 NORTH,6309,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+045
015 046,3.03222,3,1195,14636,0,HWY 25 NORTH,0 HWY 25 NORTH,6270,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+046
015 048,5.15145,4.86,1196,15313,1938,HWY 25 NORTH,1938 HWY 25 NORTH,73036,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+048
015 049,0.967984,0.9,1197,7085,1956,HWY 25 NORTH,1956 HWY 25 NORTH,10929,6/17/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+049
015 050,2.35122,2.41,1198,7086,0,HWY 25 NORTH,0 HWY 25 NORTH,5115,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+050
015 051,38.9116,39.8,1199,7087,0,HWY 25 NORTH,0 HWY 25 NORTH,51436,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+051
015 053,3.54712,3.3,1200,14637,0,HERMANS ROAD,0 HERMANS ROAD,4977,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+053
015 054,23.1813,25.02,1201,7089,0,HERMANS ROAD,0 HERMANS ROAD,47924,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+054
015 055,1.50437,2,1202,16181,0,HERMANS ROAD,0 HERMANS ROAD,3120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+055
015 056,1.76474,2,1203,16181,1816,APPLEWOOD DRIVE,1816 APPLEWOOD DRIVE,122320,8/6/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+056
015 057,1.78215,2,1204,16181,0,APPLEWOOD DRIVE,0 APPLEWOOD DRIVE,3120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+057
015 058,1.95763,2,1205,15530,0,APPLEWOOD DRIVE,0 APPLEWOOD DRIVE,3120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+058
015 059,2.21323,2,1206,16354,0,HERMANS ROAD,0 HERMANS ROAD,3120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+059
015 060,1.80727,2,1207,7095,764,HERMANS ROAD,764 HERMANS ROAD,69125,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+060
015 061,1.83066,2,1208,15531,0,APPLEWOOD DRIVE,0 APPLEWOOD DRIVE,3120,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+061
015 062,1.77939,2,1209,7097,0,HERMANS ROAD,0 HERMANS ROAD,3120,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+062
015 063,1.62774,2,1210,7098,0,HERMANS ROAD,0 HERMANS ROAD,3120,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+063
015 068,1.58255,1.7,1211,7099,0,HERMANS ROAD,0 HERMANS ROAD,69179,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+068
015 069,28.0753,28,1212,7100,0,HERMANS ROAD,0 HERMANS ROAD,52300,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+069
