,Parcel_No,review,date_2016,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,#_stories,add_mlbox,add_house,add_marker,add_notvis,stsign_vis,streetligh,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,condition,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_none,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,conditions,other_tot,lit_tot,ParcCount,rec_id
8,M08 008,Test,6/6/2016,0 BARNEY AVENUE,yes,n/a,no,Mobile home (multiple parcels),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,four_plus,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,overgrown__inc,poor,No,No,No,Yes,No,No,No,Test run.,http://ona.io/api/v1/files/1985889?filename=communitymapuga/attachments/1465238319270.jpg,None,None,None,-81.9354098,32.80878491,2,2,4,Dilapidated,1,1,2,M08 0081
9,M08 008,LME,6/6/2016,0 BARNEY AVENUE,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,needs_to_be_mo,fair,Yes,No,Yes,No,Yes,No,No,None this is a test,http://ona.io/api/v1/files/1985281?filename=communitymapuga/attachments/1465238312441.jpg,None,None,None,-81.93553863,32.80894591,1,1,2,Substandard,3,1,2,M08 0082
30,M12 104,Becky,6/22/2016,0 RAILROAD/HOLMES ST,no,1243 Railroad,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,Yes,No,No,yes,Unknown,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,needs_to_be_mo,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987431?filename=communitymapuga/attachments/1466605735337.jpg,http://ona.io/api/v1/files/1987432?filename=communitymapuga/attachments/1466605751708.jpg,http://ona.io/api/v1/files/1987433?filename=communitymapuga/attachments/1466605774828.jpg,None,-81.94515734,32.81440033,2,1,3,Substandard,0,0,2,M12 1043
31,M12 104,K,6/22/2016,0 RAILROAD/HOLMES ST,no,Unknown,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,no,four_plus,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,major_cleanup_,n/a,No,Yes,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/1985945?filename=communitymapuga/attachments/1466605887075.jpg,None,None,None,-81.94562566,32.81479281,0,0,0,Standard,3,1,2,M12 1044
38,M12 118,Becky,6/22/2016,1142 HOLMES DRIVE,no,Unknown,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,no,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,major_cleanup_,n/a,No,Yes,Yes,No,No,Yes,No,None,http://ona.io/api/v1/files/1985922?filename=communitymapuga/attachments/1466604224349.jpg,None,None,None,-81.94549801,32.8141448,0,0,0,Standard,3,1,2,M12 1185
39,M12 118,Becku,6/22/2016,1142 HOLMES DRIVE,no,1128 Holmes,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,Screens out of windows.,http://ona.io/api/v1/files/1987411?filename=communitymapuga/attachments/1466604521290.jpg,http://ona.io/api/v1/files/1987410?filename=communitymapuga/attachments/1466604543627.jpg,http://ona.io/api/v1/files/1987413?filename=communitymapuga/attachments/1466604587179.jpg,None,-81.94577463,32.81416878,0,0,0,Standard,0,0,2,M12 1186
53,M13 005,Art is,6/22/2016,0 PLUM AVENUE,no,907 Old Waynesboro Road,yes,Single family (attached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,Yes,No,No,None,http://ona.io/api/v1/files/1986948?filename=communitymapuga/attachments/1466616459735.jpg,http://ona.io/api/v1/files/1986949?filename=communitymapuga/attachments/1466616480069.jpg,None,None,-81.94141391,32.80833009,1,0,1,Standard,1,1,2,M13 0057
54,M13 005,Art,6/22/2016,0 PLUM AVENUE,no,901 Old Waynesboro Road,no,Other,n/a,Dilapidated abandoned buildind,vacant_unoccup,one,No,No,No,Yes,yes,3-4,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,Uninhabitable Supposed to be demolished,http://ona.io/api/v1/files/1986961?filename=communitymapuga/attachments/1466617265707.jpg,http://ona.io/api/v1/files/1986962?filename=communitymapuga/attachments/1466617319732.jpg,http://ona.io/api/v1/files/1986960?filename=communitymapuga/attachments/1466617369751.jpg,None,-81.94094503,32.80814506,6,2,8,Dilapidated,2,1,2,M13 0058
55,M13 019,Lme,6/24/2016,0 BARNEY/HENDRIX ST,no,517 Toby,yes,Mobile home (multiple parcels),n/a,n/a,vacant_unoccup,one,Yes,No,No,No,no,Unknown,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,needs_to_be_mo,poor,No,No,No,No,No,No,Yes,Vacant,http://ona.io/api/v1/files/2002250?filename=communitymapuga/attachments/1466791187435.jpg,http://ona.io/api/v1/files/2002251?filename=communitymapuga/attachments/1466791203802.jpg,None,None,-81.94351647,32.80910116,9,6,15,Dilapidated,0,0,13,M13 0199
56,M13 019,Becky,6/24/2016,0 BARNEY/HENDRIX ST,no,Beale Ave.,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,needs_to_be_mo,poor,No,No,No,No,Yes,No,No,None,http://ona.io/api/v1/files/2002263?filename=communitymapuga/attachments/1466790278753.jpg,http://ona.io/api/v1/files/2002262?filename=communitymapuga/attachments/1466790297399.jpg,None,None,-81.94328169,32.80854723,3,2,5,Dilapidated,1,1,13,M13 01910
57,M13 019,Becky,6/24/2016,0 BARNEY/HENDRIX ST,no,Unknown,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,Unknown,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,overgrown__inc,poor,No,No,No,Yes,Yes,No,No,None,http://ona.io/api/v1/files/2002144?filename=communitymapuga/attachments/1466789621190.jpg,http://ona.io/api/v1/files/2002145?filename=communitymapuga/attachments/1466789630810.jpg,http://ona.io/api/v1/files/2002146?filename=communitymapuga/attachments/1466789646894.jpg,None,-81.94340662,32.80894111,2,0,2,Substandard,2,2,13,M13 01911
58,M13 019,Becky,6/24/2016,0 BARNEY/HENDRIX ST,no,Beale Ave,no,Single family (no garage),n/a,n/a,unknown,one,No,No,No,Yes,yes,four_plus,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,needs_to_be_mo,poor,No,Yes,No,No,Yes,No,No,PVC pipe above ground ???,http://ona.io/api/v1/files/2002274?filename=communitymapuga/attachments/1466790888437.jpg,http://ona.io/api/v1/files/2002273?filename=communitymapuga/attachments/1466790905969.jpg,http://ona.io/api/v1/files/2002275?filename=communitymapuga/attachments/1466790915436.jpg,None,-81.94287577,32.80896077,1,1,2,Substandard,2,1,13,M13 01912
59,M13 019,Lme,6/24/2016,0 BARNEY/HENDRIX ST,no,Unknown,yes,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,No,No,Yes,no,Unknown,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,needs_to_be_mo,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002234?filename=communitymapuga/attachments/1466790602501.jpg,http://ona.io/api/v1/files/2002233?filename=communitymapuga/attachments/1466790617137.jpg,None,None,-81.94325181,32.80858689,6,2,8,Dilapidated,0,0,13,M13 01913
60,M13 019,Lme,6/24/2016,0 BARNEY/HENDRIX ST,no,Unknown,yes,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,four_plus,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002204?filename=communitymapuga/attachments/1466789643234.jpg,http://ona.io/api/v1/files/2002205?filename=communitymapuga/attachments/1466789651691.jpg,None,None,-81.94286989,32.80898921,1,0,1,Standard,0,0,13,M13 01914
61,M13 019,Lme,6/24/2016,0 BARNEY/HENDRIX ST,no,370 Dukes Ave,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,four_plus,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002209?filename=communitymapuga/attachments/1466789898783.jpg,http://ona.io/api/v1/files/2002210?filename=communitymapuga/attachments/1466789932017.jpg,None,None,-81.94315599,32.80876319,0,0,0,Standard,0,0,13,M13 01915
62,M13 019,Lme,6/24/2016,0 BARNEY/HENDRIX ST,no,Unknown,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,no,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,satisfactory,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002247?filename=communitymapuga/attachments/1466790804400.jpg,http://ona.io/api/v1/files/2002245?filename=communitymapuga/attachments/1466790817199.jpg,http://ona.io/api/v1/files/2002244?filename=communitymapuga/attachments/1466790834435.jpg,http://ona.io/api/v1/files/2002246?filename=communitymapuga/attachments/1466790863034.jpg,-81.94334314,32.80892368,1,2,3,Dilapidated,2,1,13,M13 01916
63,M13 019,Becky,6/24/2016,0 BARNEY/HENDRIX ST,no,Beale Ave,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,four_plus,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,satisfactory,fair,No,No,No,No,Yes,No,No,None,http://ona.io/api/v1/files/2002270?filename=communitymapuga/attachments/1466790545268.jpg,http://ona.io/api/v1/files/2002269?filename=communitymapuga/attachments/1466790570932.jpg,None,None,-81.94295474,32.80858517,1,1,2,Substandard,1,1,13,M13 01917
64,M13 019,Becky ,6/24/2016,0 BARNEY/HENDRIX ST,no,Toby ,no,Mobile home (single parcels),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,no,Unknown,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,major_cleanup_,poor,No,No,No,No,No,Yes,No,Landlord should be ashamed.,http://ona.io/api/v1/files/2002281?filename=communitymapuga/attachments/1466791177570.jpg,http://ona.io/api/v1/files/2002280?filename=communitymapuga/attachments/1466791183354.jpg,None,None,-81.9428883,32.80897583,4,2,6,Dilapidated,1,1,13,M13 01918
65,M13 019,Becky,6/24/2016,0 BARNEY/HENDRIX ST,no,358 Duke's Ave.,no,Mobile home (multiple parcels),n/a,n/a,occupied,one,Yes,No,No,No,yes,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,satisfactory,fair,No,No,Yes,Yes,Yes,No,No,None,http://ona.io/api/v1/files/2002258?filename=communitymapuga/attachments/1466789862715.jpg,http://ona.io/api/v1/files/2002260?filename=communitymapuga/attachments/1466789893119.jpg,http://ona.io/api/v1/files/2002259?filename=communitymapuga/attachments/1466789909956.jpg,None,-81.94307309,32.80895696,2,1,3,Substandard,3,2,13,M13 01919
66,M13 019,LME,6/24/2016,0 BARNEY/HENDRIX ST,no,Unknown,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,four_plus,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002218?filename=communitymapuga/attachments/1466790218033.jpg,http://ona.io/api/v1/files/2002219?filename=communitymapuga/attachments/1466790228299.jpg,http://ona.io/api/v1/files/2002217?filename=communitymapuga/attachments/1466790247715.jpg,None,-81.943383,32.80893311,2,1,3,Substandard,0,0,13,M13 01920
67,M13 019,LME,6/24/2016,0 BARNEY/HENDRIX ST,no,Unknown,yes,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002227?filename=communitymapuga/attachments/1466790385871.jpg,http://ona.io/api/v1/files/2002226?filename=communitymapuga/attachments/1466790395637.jpg,http://ona.io/api/v1/files/2002228?filename=communitymapuga/attachments/1466790433235.jpg,None,-81.94303668,32.80888876,4,2,6,Dilapidated,0,0,13,M13 01921
74,M13 047,K,6/22/2016,0 NORTH AVENUE,no,Unknown,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,satisfactory,poor,No,Yes,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1987014?filename=communitymapuga/attachments/1466621618253.jpg,http://ona.io/api/v1/files/1987016?filename=communitymapuga/attachments/1466621638620.jpg,http://ona.io/api/v1/files/1987015?filename=communitymapuga/attachments/1466621663153.jpg,None,-81.94522226,32.81179872,1,5,6,Dilapidated,2,0,2,M13 04722
75,M13 047,Art,6/22/2016,0 NORTH AVENUE,no,Not known,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986984?filename=communitymapuga/attachments/1466621708964.jpg,http://ona.io/api/v1/files/1986985?filename=communitymapuga/attachments/1466621756576.jpg,None,None,-81.94543637,32.81153869,5,2,7,Dilapidated,0,0,2,M13 04723
